Web of science search,Initials ,FRED? (y/n),Warming experiment? (y/n),Should be in Warming dataset? (y/n),Should be in FRED? (y/n),In SH thesis (y/n),Data Extracted?,Which Protocol?,Rationale for exclusion from AU warming database,Data source,Entered in FRED?,2025 Notes,Initials,Notes,Experiment or Gradient (Selena),Species (Selena),Traits (Selena),Notes (Selena),Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,UT (Unique WOS ID)
WOS2020,AML,n,n,y,y,n,complete,"PlotDigitzer: Fig 2
ChatGPT: Table 1",,Not found,"mandatory fields and graphs (fig 2) entered except for collection method
not entered (climate related): F01220, F01219",Has gradient and mycorrhizal fungi coloniz but research goal was not centered about arctic warming but roadside disturbance's effect on fungi colonization,MY,Arctic,elevational gradient,,mycorrhizal fungi colonization,nonnative species,J,"Clavel, J; Lembrechts, J; Alexander, J; Haider, S; Lenoir, J; Milbau, A; Nunez, MA; Pauchard, A; Nijs, I; Verbruggen, E",,,,"Clavel, Jan; Lembrechts, Jonas; Alexander, Jake; Haider, Sylvia; Lenoir, Jonathan; Milbau, Ann; Nunez, Martin A.; Pauchard, Anibal; Nijs, Ivan; Verbruggen, Erik",,,The role of arbuscular mycorrhizal fungi in nonnative plant invasion along mountain roads,NEW PHYTOLOGIST,"Plant associated mutualists can mediate invasion success by affecting the ecological niche of nonnative plant species. Anthropogenic disturbance is also key in facilitating invasion success through changes in biotic and abiotic conditions, but the combined effect of these two factors in natural environments is understudied. To better understand this interaction, we investigated how disturbance and its interaction with mycorrhizas could impact range dynamics of nonnative plant species in the mountains of Norway. Therefore, we studied the root colonisation and community composition of arbuscular mycorrhizal (AM) fungi in disturbed vs undisturbed plots along mountain roads. We found that roadside disturbance strongly increases fungal diversity and richness while also promoting AM fungal root colonisation in an otherwise ecto-mycorrhiza and ericoid-mycorrhiza dominated environment. Surprisingly, AM fungi associating with nonnative plant species were present across the whole elevation gradient, even above the highest elevational limit of nonnative plants, indicating that mycorrhizal fungi are not currently limiting the upward movement of nonnative plants. We conclude that roadside disturbance has a positive effect on AM fungal colonisation and richness, possibly supporting the spread of nonnative plants, but that there is no absolute limitation of belowground mutualists, even at high elevation.",,,,"; Alexander, Jake/P-2580-2014; Pauchard, Anibal/B-5034-2008","Lenoir, Jonathan/0000-0003-0638-9582; Milbau, Ann/0000-0003-3555-8883; Alexander, Jake/0000-0003-2226-7913; Nunez, Martin/0000-0003-0324-5479; Lembrechts, Jonas/0000-0002-1933-0750; Pauchard, Anibal/0000-0003-1284-3163; Nijs, Ivan/0000-0003-3111-680X",,,,,,,,,,,,0028-646X,1469-8137,0028-646X,1469-8137,,,,,,,,10.1111/nph.16954,,OCT 2020,WOS:000583529600001
WOS2020,AML,n,y,y,y,n,complete,"PlotDigitzer: Fig 2, 3, 4, 6
ChatGPT: Fig 1",,Not found,"mandatory fields and graphs (fig 3 roots, fig 4)  entered except for collection method
not entered (climate related): F01220, F01219
not all anciliary data entered",Has warming and biomass and ECM ,MY,fungal only?,"shading, warming, fert, warming + fert, shading + fert",,"biomass, ectomycorrhizal (ECM) colonization",not just fungal,J,"Clemmensen, KE; Michelsen, A",,,,"Clemmensen, Karina E.; Michelsen, Anders",,,Integrated long-term responses of an arctic-alpine willow and associated ectomycorrhizal fungi to an altered environment,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,"We evaluated ectomycorrhizal (ECM) colonization and morphotype community composition together with growth response and biomass distribution in the arctic-alpine, prostrate willow Salix herbacea L. x Salix polaris Wahlenb. after 11 seasons of shading, warming, and fertilization at a fellfield in subarctic Sweden. The aim was to assess responses of the integrated plant-fungal system to long-term field experiments simulating expected environmental changes. Warming more than doubled aboveground S.aherbacea x S. polaris biomass and shoot growth, whereas shading and nutrient addition had less influence on these variables. In shaded plants, adjustments at leaf level probably buffered major changes in plant biomass allocation. Fertilization increased the root mass fraction and changed root system morphology by decreasing the number of root tips per unit root mass. While no long-term changes in total ECM colonization (%ECM root tips) in response to the treatments were identified, ECM colonization in June just after snowmelt was positively correlated with root density. Changes in densities of potential host plants may therefore be of great importance for ECM colonization intensity in this ecosystem type. The ECM morphotype community changed through the season, and frequencies of some ECM morphotypes (Cortinarius saturninus and Clavulina spp.) changed more with season than with the treatments. Warming only slightly affected ECM morphotype frequencies, which implies a balanced increase in root tip numbers of most ECM morphotypes in warmed plants. Fertilization changed ECM morphotype community composition mainly because of a decrease in Cenococcum geophilum frequency and an increase in Tomentella stuposa frequency. We hypothesize that a shift from drought stress-tolerant fungi towards a dominance of minerogenic fungi may take place if nutrient availability increases substantially because of anthropogenic disturbances.",,,,"Clemmensen, Karina Engelbrecht/AAJ-2128-2021; Clemmensen, Karina E/C-9555-2014; Michelsen, Anders/L-5279-2014","Clemmensen, Karina Engelbrecht/0000-0002-9627-6428; Clemmensen, Karina E/0000-0002-9627-6428; Michelsen, Anders/0000-0002-9541-8658",,,,,,,,,,,,0008-4026,,0008-4026,,MAY,2006,84,5,831,843,,10.1139/B06-039,,,WOS:000239654700012
WOS2020,AML,n,n,y,y,n,complete,PlotDigitzer: Fig 4,,Not found,"mandatory fields and graphs (fig 4 SRT) entered except for collection method
not entered (climate related): F01220, F01219
not all anciliary data entered","Winter climate warming, framework",MY,,,,root length,,J,"Cornelissen, JHC; Makoto, K",,,,"Cornelissen, Johannes H. C.; Makoto, Kobayashi",,,"Winter climate change, plant traits and nutrient and carbon cycling in cold biomes",ECOLOGICAL RESEARCH,"It is essential that scientists be able to predict how strong climate warming, including profound changes to winter climate, will affect the ecosystem services of alpine, arctic and boreal areas, and how these services are driven by vegetation-soil feedbacks. One fruitful avenue for studying such changing feedbacks is through plant functional traits, as an understanding of these traits may help us to understand and synthesise (1) responses of vegetation (through 'response traits' and 'specific response functions' of each species) to winter climate and (2) the effects of changing vegetation composition (through 'effect traits' and 'specific effect functions' of each species) on soil functions. It is the relative correspondence of variation in response and effect traits that will provide useful data on the impacts of winter climate change on carbon and nutrient cycling processes. Here we discuss several examples of how the trait-based, response-effect framework can help scientists to better understand the effects of winter warming on key ecosystem functions in cold biomes. These examples support the view that measuring species for their response and effect traits, and how these traits are linked across species through correspondence of variation in specific response and effects functions, may be a useful approach for teasing out the contribution of changing vegetation composition to winter warming effects on ecosystem functions. This approach will be particularly useful when linked with ecosystem-level measurements of vegetation and process responses to winter warming along natural gradients, over medium time scales in given sites or in response to experimental climate manipulations.",,,,,,,,,,,,,,,,,0912-3814,1440-1703,0912-3814,1440-1703,JUL,2014,29,4,517,527,,10.1007/s11284-013-1106-1,,,WOS:000339721800002
WOS2020,ES,n,y,y,y,n,complete,"PlotDigitzer: Fig 6, 7",cumulative root prod not found in FRED,Not found,NA,Root production and microbial biomass,MY,Root productivity estimated with BTC-2 minirhizotrons. Tested the effect of earlier snowmelt in open-top chamber warming treatments.,warming exp,,root production (growth),,J,"Darrouzet-Nardi, A; Steltzer, H; Sullivan, PF; Segal, A; Koltz, AM; Livensperger, C; Schimel, JP; Weintraub, MN",,,,"Darrouzet-Nardi, Anthony; Steltzer, Heidi; Sullivan, Patrick F.; Segal, Aliza; Koltz, Amanda M.; Livensperger, Carolyn; Schimel, Joshua P.; Weintraub, Michael N.",,,"Limited effects of early snowmelt on plants, decomposers, and soil nutrients in Arctic tundra soils",ECOLOGY AND EVOLUTION,"In addition to warming temperatures, Arctic ecosystems are responding to climate change with earlier snowmelt and soil thaw. Earlier snowmelt has been examined infrequently in field experiments, and we lack a comprehensive look at belowground responses of the soil biogeochemical system that includes plant roots, decomposers, and soil nutrients. We experimentally advanced the timing of snowmelt in factorial combination with an open-top chamber warming treatment over a 3-year period and evaluated the responses of decomposers and nutrient cycling processes. We tested two alternative hypotheses: (a) Early snowmelt and warming advance the timing of root growth and nutrient uptake, altering the timing of microbial and invertebrate activity and key nutrient cycling events; and (b) loss of insulating snow cover damages plants, leading to reductions in root growth and altered biological activity. During the 3years of our study (2010-2012), we advanced snowmelt by 4, 15, and 10days, respectively. Despite advancing aboveground plant phenology, particularly in the year with the warmest early-season temperatures (2012), belowground effects were primarily seen only on the first sampling date of the season or restricted to particular years or soil type. Overall, consistent and substantial responses to early snowmelt were not observed, counter to both of our hypotheses. The data on soil physical conditions, as well interannual comparisons of our results, suggest that this limited response was because of the earlier date of snowmelt that did not coincide with substantially warmer air and soil temperatures as they might in response to a natural climate event. We conclude that the interaction of snowmelt timing with soil temperatures is important to how the ecosystem will respond, but that 1- to 2-week changes in timing of snowmelt alone are not enough to drive season-long changes in soil microbial and nutrient cycling processes.",,,,"Schimel, Joshua/AAE-7380-2019","Schimel, Joshua/0000-0002-1022-6623; Sullivan, Patrick/0000-0002-8015-3036; Weintraub, Michael/0000-0002-9623-2855",,,,,,,,,,,,2045-7758,,2045-7758,,FEB,2019,9,4,1820,1844,,10.1002/ece3.4870,,,WOS:000461114900023
WOS2020,AML,n,n,y,y,n,complete,"PlotDigitzer: Fig 1
ChatGPT: Table 1, 3, 4",,Not found,"mandatory fields and table (table 3) entered except for collection method
not entered (climate related): F01220, F01219",Arctic tundra,MY,,experimental warming,,ectomycorrhizal,,J,"Deslippe, JR; Hartmann, M; Mohn, WW; Simard, SW",,,,"Deslippe, J. R.; Hartmann, M.; Mohn, W. W.; Simard, S. W.",,,Long-term experimental manipulation of climate alters the ectomycorrhizal community of Betula nana in Arctic tundra,GLOBAL CHANGE BIOLOGY,"Climate warming is leading to shrub expansion in Arctic tundra. Shrubs form ectomycorrhizal (ECM) associations with soil fungi that are central to ecosystem carbon balance as determinants of plant community structure and as decomposers of soil organic matter. To assess potential climate change impacts on ECM communities, we analysed fungal internal transcribed spacer sequences from ECM root tips of the dominant tundra shrub Betula nana growing in treatments plots that had received long-term warming by greenhouses and/or fertilization as part of the Arctic Long-Term Ecological Research experiment at Toolik Lake Alaska, USA. We demonstrate opposing effects of long-term warming and fertilization treatments on ECM fungal diversity; with warming increasing and fertilization reducing the diversity of ECM communities. We show that warming leads to a significant increase in high biomass fungi with proteolytic capacity, especially Cortinarius spp., and a reduction of fungi with high affinities for labile N, especially Russula spp. In contrast, fertilization treatments led to relatively small changes in the composition of the ECM community, but increased the abundance of saprotrophs. Our data suggest that warming profoundly alters nutrient cycling in tundra, and may facilitate the expansion of B. nana through the formation of mycorrhizal networks of larger size.",,,,"Hartmann, Martin/M-9371-2016","Hartmann, Martin/0000-0001-8069-5284; Deslippe, Julie/0000-0003-0511-9062",,,,,,,,,,,,1354-1013,1365-2486,1354-1013,1365-2486,APR,2011,17,4,1625,1636,,10.1111/j.1365-2486.2010.02318.x,,,WOS:000287853000010
WOS2020,ES,n,y,n,n,n,complete - no relevant graphs to extract from,NA,"No relevant graphs/tables to extract from, mostly about OTU",Not found,NA,,MY,Winter warming experiment in Alaska. Did not study roots.,warming exp,,plant biomass,diazotrophic community,J,"Feng, JJ; Penton, CR; He, ZL; Van Nostrand, JD; Yuan, MTM; Wu, LY; Wang, C; Qin, YJ; Shi, ZJ; Guo, X; Schuur, EAG; Luo, YQ; Bracho, R; Konstantinidis, KT; Cole, JR; Tiedje, JM; Yang, YF; Zhou, JZ",,,,"Feng, Jiajie; Penton, C. Ryan; He, Zhili; Van Nostrand, Joy D.; Yuan, Mengting M.; Wu, Liyou; Wang, Cong; Qin, Yujia; Shi, Zhou J.; Guo, Xue; Schuur, Edward A. G.; Luo, Yiqi; Bracho, Rosvel; Konstantinidis, Konstantinos T.; Cole, James R.; Tiedje, James M.; Yang, Yunfeng; Zhou, Jizhong",,,Long-Term Warming in Alaska Enlarges the Diazotrophic Community in Deep Soils,MBIO,"Tundra ecosystems are typically carbon (C) rich but nitrogen (N) limited. Since biological N-2 fixation is the major source of biologically available N, the soil N-2-fixing (i.e., diazotrophic) community serves as an essential N supplier to the tundra ecosystem. Recent climate warming has induced deeper permafrost thaw and adversely affected C sequestration, which is modulated by N availability. Therefore, it is crucial to examine the responses of diazotrophic communities to warming across the depths of tundra soils. Herein, we carried out one of the deepest sequencing efforts of nitrogenase gene (nifH) to investigate how 5 years of experimental winter warming affects Alaskan soil diazotrophic community composition and abundance spanning both the organic and mineral layers. Although soil depth had a stronger influence on diazotrophic community composition than warming, warming significantly (P < 0.05) enhanced diazotrophic abundance by 86.3% and aboveground plant biomass by 25.2%. Diazotrophic composition in the middle and lower organic layers, detected by nifH sequencing and a microarray-based tool (GeoChip), was markedly altered, with an increase of alpha-diversity. Changes in diazotrophic abundance and composition significantly correlated with soil moisture, soil thaw duration, and plant biomass, as shown by structural equation modeling analyses. Therefore, more abundant diazotrophic communities induced by warming may potentially serve as an important mechanism for supplementing biologically available N in this tundra ecosystem. IMPORTANCE With the likelihood that changes in global climate will adversely affect the soil C reservoir in the northern circumpolar permafrost zone, an understanding of the potential role of diazotrophic communities in enhancing biological N-2 fixation, which constrains both plant production and microbial decomposition in tundra soils, is important in elucidating the responses of soil microbial communities to global climate change. A recent study showed that the composition of the diazotrophic community in a tundra soil exhibited no change under a short-term (1.5-year) winter warming experiment. However, it remains crucial to examine whether the lack of diazotrophic community responses to warming is persistent over a longer time period as a possibly important mechanism in stabilizing tundra soil C. Through a detailed characterization of the effects of winter warming on diazotrophic communities, we showed that a long-term (5-year) winter warming substantially enhanced diazotrophic abundance and altered community composition, though soil depth had a stronger influence on diazotrophic community composition than warming. These changes were best explained by changes in soil moisture, soil thaw duration, and plant biomass. These results provide crucial insights into the potential factors that may impact future C and N availability in tundra regions.",,,,"吴, 昊/AAB-1620-2020; Konstantinidis, Kostas/ABE-7113-2020; He, Zhili/C-2879-2012; Van Nostrand, Joy/F-1740-2016","Konstantinidis, Kostas/0000-0002-0954-4755; He, Zhili/0000-0001-8225-7333; Van Nostrand, Joy/0000-0001-9548-6450; Feng, Jiajie/0000-0002-5797-8400",,,,,,,,,,,,2150-7511,,2150-7511,,JAN-FEB,2019,10,1,,,e02521-18,10.1128/mBio.02521-18,,,WOS:000460314300049
WOS2020,AML,n,n,y,n,n,complete (since there's DOI),NA,"no fine root traits, just root abundance index which is not found in FRED
belowground N stock not found in FRED","Soil pore water nitrogen data: doi: 10.6073/pasta/ef745c1a7e83a746e39a05346731e407 (Finger 2015b).
Root abundance: doi: 10.6073/pasta/55a2b554347fdf76cb8be82d31bf7c72 (Finger 2015d).
Plant versus nitrogen availability: doi: 10.6073/pasta/aed4e22fc766b9dda5bec6b3f7c97b2b (Finger 2015c).
Isotope data: doi: 10.6073/pasta/318543ce17386618a69d869084c14677 (Finger 2015a).",NA,,MY,,permafrost thaw,,rooting depth and relative root abundanc,,J,"Finger, RA; Turetsky, MR; Kielland, K; Ruess, RW; Mack, MC; Euskirchen, ES",,,,"Finger, Rebecca A.; Turetsky, Merritt R.; Kielland, Knut; Ruess, Roger W.; Mack, Michelle C.; Euskirchen, Eugenie S.",,,Effects of permafrost thaw on nitrogen availability and plant-soil interactions in a boreal Alaskan lowland,JOURNAL OF ECOLOGY,"Increasing rates of permafrost thaw in boreal peatlands are converting conifer forests to waterlogged open wetlands. Permafrost thaw increases soil nitrogen (N) availability, but it is unclear whether such changes are due solely to changes in surface soil N mineralization or N mobilization from thawing permafrost soils at depth. We examined plant species composition and N availability along triplicate permafrost thaw gradients in Alaskan peatlands. Each gradient comprised four community types including: (i) a permafrost peatland with intact permafrost, (ii) a drunken forest experiencing active thaw, (iii) a moat representing initial complete thaw and (iv) a collapse scar bog representing several decades of post-thaw succession. Concentrations of dissolved organic (DON) and inorganic N (DIN) in the upper 60cm of soil increased along the permafrost thaw gradients. The drunken forest had the greatest mean concentrations of total dissolved N relative to the other community types, primarily due to greater concentrations of large molecular DON. The moat and collapse bog had significantly greater inorganic N concentrations than the permafrost or drunken forest, suggesting that changes in N availability are not a short-term effect, but can be sustained for decades or centuries. Across all plant community types, DIN and DON concentrations increased with soil depth during maximum seasonal ice thaw (September), suggesting that deeper soil horizons are important reservoirs of N post-thaw. Vegetation responses to permafrost thaw included changes in plant community composition shifting from upland forest species to hydrophilic vegetation with deeper rooting profiles in the collapse scar bogs and changes in foliar N and N-15 values. N concentrations in plant foliage and litterfall increased with concentrations of DIN during collapse bog succession, suggesting that plants are utilizing additional mineralized N.Synthesis. Our results suggest that the conversion of forest to wetlands associated with permafrost thaw in boreal lowlands increases N availability, at least in part by increasing turnover of deep soil organic matter. Plants appear to utilize these additional deeper N sources over timescales of years to centuries following permafrost thaw.",,,,"Higgens, Rebecca Finger/V-7557-2019","Finger Higgens, Rebecca/0000-0002-7645-504X",,,,,,,,,,,,0022-0477,1365-2745,0022-0477,1365-2745,NOV,2016,104,6,1542,1554,,10.1111/1365-2745.12639,,,WOS:000385915200004
WOS2020,GB-W,n,n,y,y,n,complete,"PlotDigitzer: Fig 2
ChatGPT: Table 1",genotype density of root tip not found in FRED,Not found,NA,Canadian High Arctic.,MY,fungal paper,experimental warming,,mycorrhizal fungi colonization,,J,"Fujimura, KE; Egger, KN; Henry, GH",,,,"Fujimura, Kei E.; Egger, Keith N.; Henry, Gregory Hr",,,The effect of experimental warming on the root-associated fungal community of Salix arctica,ISME JOURNAL,"The effect of experimental warming on the root-associated fungal community of arctic willow (Salix arctica) was studied in three distinct habitats at a tundra site in the Canadian High Arctic. Plots were passively warmed for 5-7 years using open-top chambers and compared to control plots at ambient temperature. Fungal communities were assessed using terminal restriction fragment length polymorphisms. We found the following: (1) the root-associated fungal community in these high arctic tundra habitats is highly diverse; (2) site and soil characteristics are the most important drivers of community structure and (3) warming increased the density of different genotypes on individual root sections but has not (yet) affected the composition, richness or evenness of the community. The change in genotype density in the warmed plots was associated with an increase in PCR amplification efficiency, suggesting that increased C allocation belowground is increasing the overall biomass of the fungal community.",,,,,,,,,,,,,,,,,1751-7362,,1751-7362,,JAN,2008,2,1,105,114,,10.1038/ismej.2007.89,,,WOS:000252592100012
WOS2020,GB-W,n,n,n,n,n,NA,NA,Mycorrhizal not related to colonization and no root traits,Sequence data:10.5061/dryad.2fc32,NA,Arctic Alaska,MY,fungal paper,experimental warming,,,,J,"Geml, J; Morgado, LN; Semenova, TA; Welker, JM; Walker, MD; Smets, E",,,,"Geml, Jozsef; Morgado, Luis N.; Semenova, Tatiana A.; Welker, Jeffrey M.; Walker, Marilyn D.; Smets, Erik",,,Long-term warming alters richness and composition of taxonomic and functional groups of arctic fungi,FEMS MICROBIOLOGY ECOLOGY,"Fungi, including symbionts, pathogens and decomposers, play crucial roles in community dynamics and nutrient cycling in terrestrial ecosystems. Despite their ecological importance, the response of most arctic fungi to climate warming is unknown, so are their potential roles in driving the observed and predicted changes in tundra communities. We carried out deep DNA sequencing of soil samples to study the long-term effects of experimental warming on fungal communities in dry heath and moist tussock tundra in Arctic Alaska. The data presented here indicate that fungal community composition responds strongly to warming in the moist tundra, but not in the dry tundra. While total fungal richness was not significantly affected by warming, there were clear correlations among operational taxonomic unit richness of various ecological and taxonomic groups and long-term warming. Richness of ectomycorrhizal, ericoid mycorrhizal and lichenized fungi generally decreased with warming, while richness of saprotrophic, plant and animal pathogenic, and root endophytic fungi tended to increase in the warmed plots. More importantly, various taxa within these functional guilds followed opposing trends that highlight the importance of species-specific responses to warming. We recommend that species-level ecological differences be taken into account in climate change and nutrient cycling studies that involve arctic fungi.",,,,"Smets, Erik F/A-9875-2011; Geml, Jozsef/C-2223-2018; Geml, Jozsef/AAW-9993-2020","Smets, Erik F/0000-0002-9416-983X; Geml, Jozsef/0000-0001-8745-0423; ",,,,,,,,,,,,0168-6496,1574-6941,0168-6496,1574-6941,AUG,2015,91,8,,,,10.1093/femsec/fiv095,,,WOS:000364566000012
WOS2020,VS,n,n,n,n,n,NA,NA,"No fine root traits, mostly about trees",https://doi.org/10.16904/envidat.132,NA,,MY,coarse root data only (Figure 4),latitudinal gradient,,stand biomass,belowground biomass as coarse root,J,"Hagedorn, F; Dawes, MA; Bubnov, MO; Devi, NM; Grigoriev, AA; Mazepa, VS; Nagimov, ZY; Shiyatov, SG; Moiseev, PA",,,,"Hagedorn, Frank; Dawes, Melissa A.; Bubnov, Maxim O.; Devi, Nadezhda M.; Grigoriev, Andrey A.; Mazepa, Valeriy S.; Nagimov, Zufar Y.; Shiyatov, Stepan G.; Moiseev, Pavel A.",,,Latitudinal decline in stand biomass and productivity at the elevational treeline in the Ural mountains despite a common thermal growth limit,JOURNAL OF BIOGEOGRAPHY,"Aim To quantify tree biomass and stand productivity of treeline ecotones and identify driving factors. Location treeline ecotones of seven regions from the South to Polar Urals, spanning a latitudinal gradient of 1,500 km. Taxa Picea obovata, Betula pubescens, Larix sibirica. Methods Stand biomass and productivity were estimated across 18 elevational transects from the tree species line to the closed forest line based on allometric measurements of 326 trees (including roots for 53 trees), stand structure assessments and demographic patterns of 20,600 trees. Stand growth data were linked to (a) temperatures monitored in situ for five years in the South and Polar Urals, (b) climate variables extrapolated from nearby climate stations and (c) measures of nutrient availability in soils and tree foliage. Results treeline position along the latitudinal gradient occurred at a similar mean growing season temperature. Despite the common cold limitation of tree distribution along the Ural mountain range, stand biomass and productivity within the treeline ecotone decreased by a factor of three and five from the South to the Polar Urals, mainly due to a declining stand density. Among climatic variables, growing season length decreased by 20% and winter temperatures declined by 4 degrees C towards the Polar Urals, whereas growing degree days > 5 degrees C remained similar, averaging 554 +/- 9 degrees C. Soil development was poorer in the Polar than in the South Urals, and plant-available N and P in the soil were 20 and 30 times lower, respectively, probably due to lower winter temperatures. Main conclusions Our results suggest that once the thermal limitation for tree growth is relieved, soil fertility-restricted by permafrost and low soil temperatures during winter-plays a key and yet underexplored role for stand productivity in treeline ecotones. The observed latitudinal decline in stand productivity is important for above- and belowground diversity and functioning.",,,,"Moiseev, Pavel A/M-9132-2013; Devi, Nadezhda/ABD-5657-2020; Maksim, Bubnov/ABF-8490-2020","Moiseev, Pavel A/0000-0003-4808-295X; Maksim, Bubnov/0000-0001-7990-1212; Devi, Nadezhda/0000-0002-3756-4761; Hagedorn, Frank/0000-0001-5218-7776; Dawes, Melissa A./0000-0003-4919-0151",,,,,,,,,,,,0305-0270,1365-2699,0305-0270,1365-2699,AUG,2020,47,8,1827,1842,,10.1111/jbi.13867,,MAY 2020,WOS:000532862100001
WOS2020,AML,n,n,y,for FRED 5.0,n,complete,"Claude: Fig 1, 3, Table 1, 2",Not arctic warming,Not found,NA,"Mount Schrankogel, Stubaier Alps, Tyrol, Austrias, vascular plant assemblage",MY,,altitudinal gradient,,mycorrhizal root colonization,,J,"Huber, E; Wanek, W; Gottfried, M; Pauli, H; Schweiger, P; Arndt, SK; Reiter, K; Richter, A",,,,"Huber, Edith; Wanek, Wolfgang; Gottfried, Michael; Pauli, Harald; Schweiger, Peter; Arndt, Stefan K.; Reiter, Karl; Richter, Andreas",,,Shift in soil-plant nitrogen dynamics of an alpine-nival ecotone,PLANT AND SOIL,"We investigated the nitrogen (N) dynamics of an alpine-nival ecotone on Mt. Schrankogel, Tyrol, Austria, in relation to temperature. Natural abundance of N-15 was used as a tool to elucidate differences in N cycling along an altitudinal transect ranging from 2,906 to 3,079 m, corresponding to a gradient in mean annual temperature of 2.4 degrees C. The amount of total soil N, of plant available N and soil C/N ratio decreased significantly with increasing altitude, whereas soil pH increased. Soil delta N-15 decreased with increasing altitude from +2.2 to -2.1 parts per thousand and delta N-15 of plant tissues (roots and leaves) decreased from -3.7 to -5.5 parts per thousand. The large shift in soil delta N-15 of 4.3 parts per thousand from the lowest to the highest site suggested substantial differences in N cycling in alpine and nival ecosystems in the alpine nival ecotone investigated. We concluded that N cycling at the alpine-nival ecotone is likely to be controlled by various factors: temperature, soil age and development, atmospheric N deposition and plant competition. Our results furthermore demonstrate that the alpine-nival ecotone may serve as a sensitive indicator of global change.",,,,"Wanek, Wolfgang/E-7001-2012; Gottfried, Michael/C-2923-2011; Richter, Andreas/D-8483-2012; Arndt, Stefan/G-5021-2013","Wanek, Wolfgang/0000-0003-2178-8258; Richter, Andreas/0000-0003-3282-4808; Arndt, Stefan/0000-0001-7086-9375; Schweiger, Peter/0000-0003-2967-7835; Pauli, Harald/0000-0002-9842-9934; Arndt, Edith/0000-0002-1850-2063",,,,,,,,,,,,0032-079X,1573-5036,0032-079X,1573-5036,DEC,2007,301,1-2,65,76,,10.1007/s11104-007-9422-2,,,WOS:000252476000006
WOS2020,RL,n,n,y,y,n,complete,"PlotDigitzer: Fig 2
ChatGPT: Fig 1, Table 1, Table 2",Cumulative fraction of dry root biomass and dry root mass density not found in FRED,Not found,NA,dune near subarctic Quebec,MY,"Root mass, dune community",,,root mass density,,J,"Imbert, E; Houle, G",,,,"Imbert, E; Houle, G",,,"Spatio-temporal dynamics of root mass density in a coastal dune in subarctic Quebec, Canada",JOURNAL OF COASTAL RESEARCH,"On coastal dunes, both plant community composition and abiotic factors change along the foredune-established dune sequence. However, little is known about changes in belowground biomass, particularly in root mass, along such gradients. Yet, belowground plant structures are important for substrate cohesiveness and coastal dune integrity. Using soil cores, we determined the spatio-temporal dynamics of root mass density, from the embryo dunes to the stabilised dunes, on a coastal dune system in subarctic Quebec, Canada. Root mass density varied along the gradient, but it did not show a monotonic increase as observed in other studies. Roots were concentrated in the upper layer of the substrate (0-20 cm), except on the embryo dunes where most of the roots were found at 20-60 cm. below the surface. Root mass density did not differ among the first three sampling dates (18 June, 07 July and 25 July), probably as a consequence of early root growth in the spring. However, root mass significantly decreased in August at all depths. Root mass density was not significantly correlated with soil water content, but it was correlated negatively with soil pH, and positively with total salts. Because root mass is concentrated near the substrate surface, subarctic coastal dunes may be particularly susceptible to human disturbance, such as trampling.",,,,,,,,,,,,,,,,,0749-0208,,0749-0208,,FAL,2001,17,4,877,884,,,,,WOS:000172520100010
